content,publish_at,id,summary,title,keywords,related_stocks,uuid
"連鎖超市龍頭全聯 27 日宣布，2024 年邁向下一個 25 年，將積極拓展市場，目標全台店數突破 1200 家店，業績上看 1800 億元，加上大潤發後達 2100 億元新高里程碑，而集團如火如荼發展的全支付，也將在第一季實現跨境布局，將跨入日本。


全聯董事長林敏雄表示，今年集團有許多目標，但最重要的事情是「消費者要喜歡」，經營不是只考慮成本，必須經的起消費者考驗，全聯要提供最方便、最新鮮、店面整齊的購物體驗。


但林敏雄不諱言，全聯也有缺工的問題，缺工比例超過 10%，且越來越嚴重，因此，未來也會逐漸導入自助結帳的服務。


全聯預計，今年加強串聯線上、線下「PX 服務圈」，門市據點會深入各縣市鄉里；截至去年底，全聯在全台擁有逾 1160 家店，今年將超過 1200 家，而在去年總業績 2000 億元達標後，今年拚達 2100 億元。


除了實體門市，目前「全聯小時達」在全台已有 739 家實體門市導入 (小專店 9 家)，再加上 UberEats、foodpanda 兩大外送平台的服務，以每家服務門市半徑 3 至 5 公里計算，可涵蓋全台將近 100% 外送區域，去年營運年增 20%，今年續挑戰雙位數成長。",2024-02-28 09:45:20,15436,全聯業績上看 2100 億元 全台總店數突破 1200 店,〈全聯龍年展望〉業績拚2100億元新高 全台總店數突破1200店,"['全聯', '超市', '零售', '林敏雄']",[],955a5c44-f60d-4028-ac20-85814eea51a1
"連鎖超市龍頭全聯 27 日宣布 2024 年正式成立「永續委員會」，並發表「rePXMART」標誌，將推動 4 大行動計畫；全聯表示，身為本土企業，藉此持續將 ESG 議題深化核心本業，期望發揮零售通路的力量，關注台灣永續發展。


全聯說明，永續委員會由總經理蔡篤昌擔任主席，以「全聯善美的永續發展策略」執行「永續農業」、「循環減塑」、「減碳綠能」、「惜食減廢」4 大行動計畫，將永續策略導入各部門，整合資源並積極循環利用，擴大綠色經濟規模。


為朝永續目標邁進，全聯今年成立的永續委員會，轄下由 14 個部門的一級主管擔任領導成員，定期召開會議，並發布永續報告書，揭露相關進度與規劃。


全聯期望，透過高階主管帶領內部同仁，將永續 DNA 逐步深植企業文化中，並積極運用上下游管理的力量，展現社會影響力，擴大綠色經濟規模。


全聯 2008 年起跨足生鮮，成為改革台灣農業的關鍵力量之一，全聯董事長林敏雄更以「農民有事，就是全聯的事」，致力做好全民超市，全聯近幾年也持續呼應國際間對生物多樣性重視的趨勢、保育海陸域生態，邁向責任消費與生產的目標。


例如，全聯致力老鷹的生態保育，持續推動「老鷹紅豆」相關商品，開發「官田菱雉菱」，製成多樣調理熟食商品，總計整體友善生態商品去年業績逾 13 億，其中，老鷹紅豆系列商品擁有 5.5 億元的業績。


循環減塑部分，全聯裸賣安心平價專區深受消費者喜愛，截至去年底，裸賣品項超過 300 品，裸賣品項比例達 35%，在創造傳統市場豐富多樣的氛圍下，業績年增 20%。


為響應台灣 2050 年淨零排放目標，全聯積極打造綠色友善門市，透過設備汰舊換新，提升門市能源使用效率，自 2016 年至去年底，共投入約 18.6 億元添置與汰換設備，約減少超過 2100 萬度電力，省下 7100 萬元電費、逾 1088 萬公斤的減碳量。",2024-02-28 09:49:25,15435,全聯成立永續委員會 將推動四大計畫,〈全聯龍年展望〉成立永續委員會 將推動四大計畫,"['超市', '全聯', '永續', '林敏雄']",[],661d392e-f0a1-4b81-bec3-f6d8e674114f
"MWC 2024 世界行動通訊大會本周一 (26 日) 在西班牙巴賽隆納盛大登場，台灣身為 ICT、半導體產業生態系中重要的成員，有超過 50 家台廠參與這場盛事，台廠紛紛大秀肌肉，展示旗下最新產品搶攻商機。 


今年 MWC 展會以「Future First」為主題聚焦 6 大領域，包括 5G 與下一代行動通信 (Beyond 5G)、萬物連結 (Connecting Everything)、人性化的 AI(Humanizing AI)、工業 4.0 數位轉型 (Manufacturing DX)、顛覆傳統並繪製未來 (Game Changers)，以及我們的數位基因 (Our Digital DNA)。 


仁寶布局 B5G 衛星通訊、攜手聯發科 展出三大亮點解決方案 


仁寶 (2324-TW) 表示展出的三大亮點，包括先進的 5G 通訊設備、突破性的衛星物聯網解決方案，以及創新的 ESG 能源管理系統。仁寶進一步指出，攜手聯發科 (2454-TW)、奇邑科技、Skylo 和 Creative5 合作，展出 NTN 衛星物聯網解決方案。 


仁寶的衛星物聯網解決方案，搭載聯發科 MT6825 NTN 晶片組，以及奇邑科技的 LoRaWAN 通訊技術，可以結合物聯網廣域通訊技術優勢與衛星網路的雙向通訊功能，讓衛星物聯網解決方案自動鏈結衛星訊號與終端傳感器資料，提供無縫衛星通訊體驗。 


廣達旗下雲達借助 Intel Xeon 之力 加速 AI 5G 應用 


廣達 (
2382-TW
) 旗下雲達科技 (QCT) 前進 MWC 2024 世界行動通訊大會。展出的產品包括 5G 與 AI 基礎設施及解決方案，以及 QuantaGrid、QuantaPlex 和 QuantaEdge 系列伺服器。其中搭載 Intel Xeon 可擴充處理器的解決方案，具備高性能、大頻寬記憶體，以及高安全性等特性，可應用在車輛設計與製造的智慧化產線、生成式 AI 圖像生成，以及智慧高球虛擬教練等多種情境。 


緯穎展示全新邊緣伺服器 積極搶攻商機 


AI 指標廠緯穎 (
6669-TW
) 前進 MWC 2024 世界行動通訊大會，將於展會中展示最完整新一代的邊緣運算解決方案，協助電信公司、邊緣服務供應商和 CDN 供應商，提高運算效率，同時也展出先進液冷技術。 


展出的產品包括 EP100G2、ES100G2 和 ES200G2 等短機身、符合 NEBS 3 級標準的邊緣運算伺服器，且均採用英特爾最新第五代 Xeon 處理器，並獲得 NVQual 認證。緯穎指出，主要目標在於協助電信公司、邊緣服務供應商和 CDN 供應商，提高運算效率、TCO，進一步釋放網路及邊緣運算的全新商機。 


先進液冷技術方面，緯穎則計畫將液冷解決方案從雲端資料中心推廣至邊緣應用。 


D-Link 友訊五大解決方案 引領網通浪潮搶商機 


D-Link 友訊 (2332-TW) 展出的五大解決方案包括由核心到邊緣交換器組成的三層式網路架構，能完整涵蓋應對未來的關鍵網路架構；頭端到用戶端一體搭配的光纖網路解決方案，以優良的連網能力與品質全程續航；高速、高品質的企業存取點，將提供更穩定、高效、安全的無線網通環境；5G 專網一站式垂直整合解決方案，可打造高效通訊新世代；最後，則是憑藉無所不在的終端閘道器，實現萬物連網的理想。 


D-Link 友訊五大解決方案的展出，強調完整性、可擴展性、易管理性、可靠度及安全性，並可依照不同使用情境、場域規模與用戶需求，建構從核心網路到邊緣網路 (From Core to Edge) 的全方位基礎架構。 


啟碁展示三大先進網路通訊技術 


網通廠啟碁 (
6285-TW
) 前進 MWC 2024 世界行動通訊大會，展示先進網路通訊技術，涵蓋企業、家用與車用等三大領域，其中 5G 專網解決方案、環保 CPE 解決方案，以及創新軟體開發為啟碁的展出亮點。 


啟碁展出的 5G 專網解決方案包括 Open RAN 架構，以及新推出的一體化小型基地台產品。環保 CPE 解決方案方面，啟碁新推出的 5G CPE 支援路由器和網狀網路雙模式。至於創新軟體開發，則提供 AI 加值軟體服務，以及開源軟體整合及加值服務。 


明泰大秀 5G 新世代寬頻設備解決方案 已打入多國布建測試 


明泰 (3380-TW) 展出的「5G 基站新世代 O-RAN 無線電單元 (O-RU) 產品方案」提供符合 O-RAN 介面標準的 5G 基站的無線電單元 (RU)，讓電信運營商以及系統整合商在不同的場域布建時，可以依照自身需求進行調整。 


明泰進一步透露，此項產品方案目前已與多家歐、美、日等國際客戶，進行多個應用場域布建測試。 


中磊展示三大解決方案 提供高附加價值產品搶商機 


網通大廠中磊 (
5388-TW
) 參與 MWC 2024 世界通訊大會，董事長王煒親自領軍，於展會中展示 5G、雲端智能分析平台，以及數位城市服務三大主軸解決方案，提供高附加價值產品與多元應用搶商機。  


中磊展出的 5G 解決方案，包括全系列 mmWave 毫米波、Sub-6GHz 小型基地台以及 5G FWA CPE(固定無線接入客戶終端設備)，可優化 5G 訊號覆蓋，擴增資料傳輸容量，滿足都會地區之高密度網路流量需求。 


雲端智能分析平台方面，中磊採動態展示，協助營運商即時掌握用戶終端設備的部署狀況、網路效能、智慧警示等，以減少客訴降低維運成本。至於數位城市部分，中磊則提供整合物聯網和 5G/WiFi 覆蓋的城市級監控服務，可有效提升城市維安與智慧城市的效能。 


光寶科首度亮相 5GxAIxESG 創新應用、高效節能式基站 


光寶科 (2301-TW) 在 MWC 2024 首度對外展示多項跨國際、跨領域生態系夥伴的合作成果，以及產品技術與應用三大亮點，包含 5G x AI x ESG 創新應用、高效節能基站產品、全系列一體式基站。 


光寶科與遠傳合作，展現 5G x AI x ESG 創新應用的「5G 戶外專網 AI 聲景蒐集應用」。與國際知名設備檢測大廠是德科技 (Keysight Technologies) 合作，現場直接實機檢測光寶小基站的節能成效「O-RU Energy Efficiency testing with E-Plane ETSI Test Suite」。另外也攜手恩智浦半導體 (NXP Semiconductors) 合作，研發室內、室外以及下一代最新型的小基站。",2024-02-28 10:02:03,15434,MWC 2024 世界行動通訊大會本周一 (26 日) 在西班牙巴賽隆納盛大登場，台灣身為 ICT、半導體產業生態系中重要的成員，有超過 50 家台廠參與這場盛事，台廠紛紛大秀肌肉，展示旗下最新產品搶攻商機。 ,〈MWC通訊大會〉台廠大展身手搶商機 Future First亮點一次看,"['MWC 2024', '網通', 'AI', '5G']","['仁寶', '明泰', '啟碁', '友訊', '緯穎', '廣達', '聯發科', '中磊', '全新', '光寶科']",2a6f8a74-7ca0-42dc-be58-c10de19e15e3
"貨攬業者中菲行 (5609-TW) 為實踐永續發展願景，近日達成一系列重大成就，中菲行指出，完成與國泰航空簽訂可持續航空燃油 (SAF) 協議，並獲國際碳揭露計畫 (CDP) 的 B - 級評分認可。


中菲行指出，加入國泰的企業可持續航空燃油計畫，是邁向減少與空中運輸相關溫室氣體排放發展的重要一步，在此合作中，中菲行的環境、社會和治理 (ESG) 永續目標與國泰航空的願景保持一致，並顯示藉實際行動支持地球永續的重大承諾。


另一方面，中菲行的環境倡議近日並獲國際碳揭露計畫 (CDP) 的 B - 級評分認可，肯定其在亞洲和全球的多式聯運和物流領域表現，皆超越平均水準。


中菲行說明，這項成就與集團 2022 年底獲得的 ISO14064-1:2018 認證相輔相成，突顯致力於減少碳排和永續發展的努力，同時，中菲行已設定了積極的目標，至 2050 年將有效減少碳排放，並將辦公室用電轉換為 100% 可再生能源。


展望 2024 年，中菲行透過集團在全球的深入布局，1 月海運、空運貨運量分別成長 10-30%，在貨運市況競爭激烈之際，呈現大者恆大優勢，中菲行表示，樂觀看待 3 月空運傳統旺季需求將回溫，營運動能穩健無虞。",2024-02-28 10:07:53,15433,中菲行永續願景達二大成就 攜手國泰航簽訂 SAF 協議,中菲行永續願景達二大成就 攜手國泰航簽訂SAF協議,"['中菲行', '貨攬', '永續', '貨運', '空運', '航空']",['中菲行'],d87867ab-4a4b-4d99-a8c6-73a9b4ba9bae
"AI 熱潮方興未艾，已有多起犯罪集團利用 AI 人像來欺騙銀行的面部識別系統成功詐貸; 或針對跨國公司進行詐騙，損失超過新台幣 8 億，KPMG 安侯建業指出，要防止被 Sora 等 Al 影片欺騙 · 必須有「提升 AI 風險素養」及「建構 AI 內容的透明度與可識別度」等兩大防禦策略。


隨著「一句話創造一分鐘 Al 高畫質影片」的 Sora 平台示範影片出爐, 不但影視創作產業受到巨大震撼, 更隱藏著潛在的資安風暴。Sora 橫空出世，只要幾個簡單的提示詞, 即可生成 4K 超高質影片, 甚至達到專業人士難以分辨真偽的程度。


KPMG 安侯建業顧問部營運長謝盷澤表示，過去大家擔心會有超越專家能力的「超級人工智慧 (Super Al)」，但是「超級深偽 (Super Depfake）」 欺詐技術，已伴隨網路 AI 影音服務出現 · 才更令人憂心。若無適當的風險控制，很可能形成「深偽即服務 (Deepfake as a service) 」的暗黑產業鏈。未來恐被用來製造更真偽難辨的假新聞，對公眾意識形態的選舉、乃至國家安全，都構成前所未有的挑戰, 連目前採用的如遠距身分識別等機制, 都可能被撼動。


KPMG 依據近期資安情資分析，已有多起犯罪集團利用深偽技術生成的 AI 人像來欺騙銀行的面部識別系統進行詐貸; 多宗利用深偽技術針對跨國公司進行詐騙的事件，造成至少 8 億台幣的損失，顯示以 AI 深偽技術結合傳統詐騙手法的「新智慧詐騙工程」正在蔓延。


謝盷澤強調，要防止被 Sora 等 Al 影片欺騙 · 必須有「提升 AI 風險素養」及「建構 AI 內容透明度與可識別度」等兩大防禦策略。他建議，首先要顛覆過去對網路影音「有片有真相」的認知, 以後要轉變為「保持懷疑 ，確信來源」，才能夠在生成式 Al 普及的網路世界中 ，具備基本的「防深 (偽) 術」。


其次，針對應用生成式 Al 提供服務的業者，未來的資安不只要重視傳統的「機密性」，並要將產出成品提供「透明的告知或識別」，讓使用者可以輕易分辨內容是源自 AI，且要能夠對真實性加強驗證，建構足夠的防偽機制，例如：在原始的影音檔案中添加雜訊或浮水印，來阻擋超級深偽的偽冒或複製。企業在高風險的網路交易中, 建議以零知識證明 (Zero-knowledge proof, ZKP) 不透露使用者 自身資訊等新型密碼學技術來進行身分認證。


謝盷澤指出，生成式 AI 究竟會成為未來眼球經濟的「沈浸式利器」，還是「沉沒式利刃」？ 關鍵就在於自身的資安防禦能力是否足夠強大。",2024-02-28 10:12:02,15432,犯罪集團利用 AI 人像來欺騙銀行的面部識別系統成功詐貸; 或針對跨國公司進行詐騙，已造成至少 8 億台幣損失，要防止被 Al 影片欺騙 · 必須有「提升 AI 風險素養」及「建構 AI 內容的透明度與可辨識度」兩大策略,深偽詐欺已騙走8億台幣! KPMG傳授兩大秘器 防止被AI影片耍了,"['sora', 'AI', 'deep fake', 'KPMG']",[],ced5c679-fcff-4d1d-8158-3c34a99cfea8
"財金公司去年 10 月 24 日正式開辦 TWQR，打破電支業者的原先合作通路範圍，讓使用者可以「一碼掃天下」，據了解，國內第三大電支業者全支付及愛金卡將於今年 3 月 11 日正式上線，開通電支跨機構共用平台「購物」功能，財金公司發言人證實，兩家業者確實已完成系統測試，至於電支龍頭街口支付，根據規劃，最快 6 月完成測試、展開試營運，預計 7 月正式啟用購物功能。


為解決市面上各種支付 QR Code 規格不一、無法互通的問題，金管會攜手財金公司主導串連「銀行」及「電支機構」兩大支付體系，於 2021 年 10 月建置電子支付跨機構共用平台，陸續開通轉帳、繳稅、繳費、購物四大服務，以「TWQR」整合國內 QR Code 支付的應用，一碼就能掃遍全台，是我國行動支付發展重要的里程碑。


首波參加 TWQR 購物功能的金融機構共有 37 家支援「台灣 Pay」使用，以本國銀行為主，至於合作的電支機構共有 4 家，分別為全盈支付、一卡通、橘子支付及歐付寶。其餘電支機構若要加入 TWQR，除了得與財金公司的系統介接測試外，還需要一家一家重新和特約商家協議，鼓勵採用 TWQR，並進一步更新合約。


財金公司發言人透露，全支付及愛金卡目前已經通過系統測試，將在 3 月加入 TWQR 行列，據悉，3 月 11 日將會正式上線。事實上，金管會、國發會等部會都相當重視 TWQR 的推展，希望其他專營電支的業者能於第二季之前全數上線。


全支付正式進軍電支領域僅約 1 年半的時間，已擁有超過 430 萬會員數，通路約 22 萬，相較其他電支同業，全支付通路遍及全國各鄉鎮，以 PX Pay 會員為主，加入 TWQR 行列後，可望進一步拓展外部通路，像是商圈、夜市、街邊店家等，全支付的使用者也能「走出全聯門市」，透過特約商店一個 QR Code 輕鬆完成付款。


至於街口支付，因商家範圍較廣，可能還需要數月時間來克服問題，財金公司發言人進一步說明，街口早已加入電子支付跨機構共用平台「轉帳」的行列，雖未在首波開通購物功能的名單內，但仍持續開發系統，根據該公司規劃，6 月可望展開試營運，7 月正式上線，屆時，9 家電支業者全面到位，各特約商家就能互通掃碼支付。


TWQR 登陸日韓免大量換外幣 下一波續布局亞太國家


台韓跨境支付交流日前傳出捷報，TWQR 於 1 月 31 日宣布登陸韓國，首波開通掃碼購物的發卡機構包括台銀、土銀、合庫、一銀、華銀、彰銀、上海銀、高雄銀、兆豐銀、臺企銀、新光銀、元大銀及花蓮二信等 13 家，其他銀行及電支機構未來將陸續加入。


國人未來不必大量兌換韓圜現鈔，可用一支手機暢遊韓國，輕鬆掃碼支付，銀行業者及電支機構也不需在國際市場上單打獨鬥，就能迅速接軌國際，並讓國內外支付產業及商店間達成「資源共享、資訊互通」效益，財金公司亦致力開發日本市場。


財金公司發言人指出，財金公司與韓國最大收單機構 BC Card 公司完成系統介接，初期即導入國人熟悉且喜愛掃貨的韓國便利商店、百貨公司、免稅店等，多達 4 萬家特約商店，未來將會持續擴增，讓更多特約商店受理「TWQR」，深入韓國的大街小巷。




左起為駐韓國台北代表處黃中兆組長、BC Card 公司崔元碩執行長、銀行公會雷仲達理事長、韓國觀光公社劉鎭鎬本部長於「TWQR 韓國開通記者會」合影。(圖：財金公司提供)




日本市場方面，財金公司發言人說明，事實上，2021 年就已將 TWQR 推展至日本地區，合作對象為 NTT DATA 公司，民眾前往日本旅遊時遇到有擺放 TWQR 的店家都能使用，但當時遭遇新冠疫情衝擊，使得拓展通路的腳步較慢，目前仍以特定商圈為主，在廣度上來說，不如韓國便利商店通路的範圍廣泛、能見度高、小額消費筆數多，今年將會積極佈點，讓赴日遊客或商務人士使用更加便利。


至於除日韓外的其他國家布局，財金公司目前策略仍以亞太國家為主，會積極與境外夥伴鏈結合作推展 TWQR，只要對口國合適，評估動機、環境等條件符合，都能進一步洽談合作，像是近年受到國人歡迎的越南、泰國、新加坡等海外熱門旅遊國家，未來也有機會看到 TWQR 的蹤跡，讓行動支付無國界。",2024-02-28 11:10:03,15431,財金公司去年 10 月 24 日正式開辦 TWQR，打破電支業者的原先合作通路範圍，讓使用者可以「一碼掃天下」，據了解，國內第三大電支業者全支付及愛金卡將於 3 月 11 日正式上線,〈獨家〉TWQR掃碼購物攏ㄟ通 全支付3/11上線 街口最快6月試營運,"['TWQR', '全支付', '街口支付', '電支跨機構共用平台', '購物', '愛金卡']",[],fe7a9310-6eaf-4711-b364-a4ac904fb03e
"中華電信 5G 行動網路再傳捷報！繼西班牙時間 26 日於 MWC 2024 世界行動通訊大會榮獲 SPEEDTEST® 台灣「最佳行動涵蓋、最快 5G 網速、最廣 5G 涵蓋、最優 5G 遊戲體驗」四冠王殊榮後，西班牙時間 27 日代表台灣再獲得國際知名行動網路報告權威 OPENSIGNAL 所頒發 2023 台灣「5G 下載和上傳體驗」冠軍、「5G 遊戲和即時影音體驗」冠軍、「整體涵蓋體驗」冠軍及「5G 涵蓋體驗」等六項冠軍殊榮，是台灣唯一於 MWC 獲得兩國際行動網路報告權威機構頒獎之電信業者，再次印證中華電信的優質的行動網路品質與服務不僅深受消費者信賴，更名揚國際獲高度肯定！


中華電信董事長郭水義表示，中華電信代表台灣在 MWC 2024 世界行動通訊大會上，雙獲國際權威 SPEEDTEST® 與 OPENSIGNAL 多項大獎，不僅是國內唯一兩年蟬連獲得國際行動網路報告權威頒獎的電信業者，同時，將台灣的硬實力推向國際舞台，讓世界看到台灣，為國爭光；中華電信作為台灣電信龍頭及數位生態系統協創者的領導品牌，對於網路及服務品質絕不妥協，屢獲國際大獎更是促使中華電信持續向前的最佳動力！


中華電信總經理林昭陽表示，很榮幸在 2024 MWC 世界行動通訊大會中，代表台灣及中華電信獲頒 OPENSIGNAL 2023 台灣「5G 下載和上傳體驗冠軍」、「5G 遊戲和即時影音體驗冠軍」、「涵蓋體驗冠軍」及「5G 涵蓋體驗冠軍」等六項冠軍，中華電信具備最堅強的網路優勢，同時積極投入研發、導入最新的電信技術，為客戶打造高品質的通訊環境，讓客戶享受最優質有感的行動服務體驗。本次獲獎即充分展現中華電信努力的成果，有目共睹。


中華電信不僅獲國際認證，在整體行動業務的表現亮眼、行動服務品質更是深受消費者信賴定。中華電信將持續秉持「永遠走在最前面」的品牌精神，以廣、深、厚三個面向強化 5G 網路建設，運用最大連續頻寬及全台最大主流頻寬資源優勢，並結合電信與科技開發各類創新應用，持續提供客戶 NO.1 的行動網路體驗及國際頂尖的 5G 行動網路服務，讓客戶對中華電信行動品質更有感！",2024-02-28 12:34:54,15430,中華電信 5G 行動網路再傳捷報，代表台灣再獲得國際知名行動網路報告權威 OPENSIGNAL 所頒發 2023 台灣「5G 下載和上傳體驗」冠軍、「5G 遊戲和即時影音體驗」冠軍、「整體涵蓋體驗」冠軍及「5G 涵蓋體驗」等六項冠軍殊榮。,中華電信MWC 2024再傳捷報 榮獲OPENSIGNAL六項冠軍殊榮,"['中華電', '電信', '5G']",[],17845381-5d8c-43b3-9f55-6835b19c8ab3
"在車用及消費電子光學市場需求回溫的同時，包括鏡頭廠、鏡頭模組廠都積極展開市場的布局，中揚光電 (6668-TW) 則估 2024 年營運將由谷底翻揚，同時，在車載應用產品上 ，並獲新增美系客戶訂單，並將配合赴泰國投資設立鏡頭組裝廠。


中揚光電配合新客戶、新訂單，將由持股 68.45% 的子公司紘立光電赴泰國投資 200 萬美元設立車用鏡頭組裝廠，預計在 2024 年下半年投產；這也是中揚光電首度跨出兩岸的海外新投資行動，主要也爲爭取長期、穩定的訂單來源。


中揚光電主管指出，此一投資案主要是因應洽談已長達 1 年的美系車廠供應鏈在泰國的生產計畫，在雙方達協議之後，確立由紘立光電赴泰設立鏡頭組裝廠進行短鏈供應，由於紘立光電在鏡頭組裝業務的自動化程度極高，也因此規劃在泰國組裝供應，鏡片及其他組件部分，則由泰國以外地區進口供應。


中揚光電主管指出，赴泰國設立車用鏡頭組裝廠，主要在於新增美系客戶提出高達 5-8 年的需求，同時，泰國也是車用零組件的重要供應地區，也因此決議投資在泰國設鏡頭組裝廠就地供應。


中揚光電目前業務包括車載鏡頭、模具、鏡頭與鏡片代工三大區塊，其中紘立光電即為車用光學元件布局的重要環節。中揚光透過紘立光電在鏡片及鏡頭佈局重點，轉向非消費性電子產品，車載與投影鏡頭 2023 年出貨持續成長，對無人機、安防及醫療市場也有著墨。


統計中揚光 2023 年營收營收 9.45 億元，其中在包括模具、鏡片及鏡頭的車載應用產品上 ，2023 占營收比重 15%，今年將有高達 30-40% 的成長，此一成長幅度也與整體中揚光 2024 年營收成長相符。


中揚光電 2024 年 1 月營收 9090 萬元，月減 21.71%，年增 22.07%，同時，在景氣回暖之下，中揚光在 2024 年首季營運將優於去年同期，由接單的走勢來看，中揚光 2024 年首季的營收也將超越去年第一季 2.32 億元。


中揚光 2023 年積極進行市場籌資，去年底完成發行 8000 張的現增私募股，募集 2.43 億元，同時，私募案的應募人包括了散熱模組雙鴻科技 (3324-TW) 以 1 億元認購私募股 3300 張，顯示雙鴻爲本身轉投資應用光學廠捷西廸與中揚光結盟。


在此次中揚光發行 8000 張增資私募股案中，雙鴻以 30.4 元，合計 1 億元認購中揚光私募股 3300 張，占中揚光本次增資後股本 9.12 億元的 3.6%。",2024-02-28 12:40:07,15429,在車用及消費電子光學市場需求回溫的同時，包括鏡頭廠、鏡頭模組廠都積極展開市場的布局，中揚光電 (6668-TW) 則估 2024 年營運將由谷底翻揚，同時，在車載應用產品上 ，並獲新增美系客戶訂單，並將配合赴泰國投資設廠。,(獨家)車用光學熱 中揚光獲美系車廠新訂單將配合赴泰設組裝廠,"['泰國', '營收', '中揚光', '車用']","['中揚光', '雙鴻']",fbbca07c-31be-4549-88fa-a11e3b6e4c14
"台泥 (1101-TW) 今 (28) 日公告去年財報，受惠電力能源事業以及歐洲低碳水泥事業獲利提升貢獻，集團去年稅後純益 79.98 億元，年增 48%，每股純益 1.06 元，獲利率呈現三率三升。


台泥去年營收 1093.14 億元，年減 4%、毛利率 18.8%，年增 9.9 個百分點；營業利益 100.3 億元，大幅年增 763%、營益率 9.2%，年增 8.2 個百分點；淨利率 7.3%，年增 2.6 個百分點。


單季來看，台泥去年第四季營收 283.47 億元，季增 5%、年減 18.2%；毛利率 22.2%，季增 0.8 個百分點、年增 6.8 個百分點；營益率 12.1%，季增 0.8 個百分點、年增 5.4 個百分點；第四季稅後純益 18.02 億元，季增 44.5%、年減 27.6%。


據了解，台泥去年主要受惠於電力能源事業以及歐洲低碳水泥事業獲利增加，而台泥在去年 11 月宣布增加持股土耳其、葡萄牙兩家轉投資水泥公司，預計今年第一季完成交易，將進一步挹注集團營收及獲利表現。


另一方面，台泥位於高雄生產高階三元鋰電池的小港廠已經正式進入量產，加上國內外儲能案場陸續建成營運，都將貢獻穩定獲利，有利集團營收結構多元性、韌性及成長性。",2024-02-28 12:42:34,15428,台泥去年三率三升 純益年增 48% EPS 1.06 元,台泥去年三率三升純益增48% EPS 1.06元,"['台泥', '財報', '水泥', '電池']",['台泥'],d80cd643-a28c-4c1a-bcdd-b006aa8467b6
"2024 年國際光學工程學會 (SPIE) 先進微影成形技術會議 (Advanced Lithography and Patterning Conference) 本周舉行，比利時微電子研究中心 (imec) 展示能減少二氧化碳排放的先進微影蝕刻製程，並提出更具永續性的圖形化發展方向，包含例如乾式蝕刻製程和簡化製程的可能。


imec 技術研究主任 Emily Gallagher 舉例，若以相當於高數值孔徑極紫外光 (high-NA EUV) 的一次曝光，取代低數值孔徑極紫外光 (low-NA EUV) 雙微影蝕刻 (LELE) 的穿孔製程模組，碳排放量能減少約 30%。


儘管高數值孔徑 (high-NA) 曝光機的先進平台和驅動雷射所衍生的功耗增加，但這套做法仍能減少碳排，因為製程步驟變少了。


imec 指出，2021 年製造半導體元件產生大約 1.75 億噸二氧化碳的碳足跡，大致等於 3000 萬人所產生的全年碳排放。


Emily Gallagher 表示，現階段有很多有效方法可減少碳排影響，如大多數的乾式蝕刻製程都仰賴含氟化合物，這些物質對全球暖化影響極大，且直接排放量也很高，而微影製程與發電相關的碳排放挑戰更大，imec 提出的做法是運用更環保的綠能，減少多重圖形化的步驟，降低光阻劑量，以及提高曝光機的產量。


為了把這些製程的消耗控制在最小，進而盡可能減少影響，imec 鎖定未來圖形化應用，發表製程和設計指南，藉此實現超薄阻劑和底部薄膜塗佈、最少鈍化處理，還有低溫蝕刻。


根據新原則，imec 展示一項與高數值孔徑 (high-NA) 相容的金屬導線蝕刻製程，其廢氣排放量大約是參照製程進行減量前的 6%。


Emily Gallagher 補充，永續發展對 imec 來說很重要，也樂見國際光電工程學會 (SPIE) 先進微影成形技術會議 (Advanced Lithography and Patterning Conference) 越來越重視。


觀察發表論文就能看出一項前景可期的趨勢，2018 年只有 1 篇論文提及永續發展，但是在短短 6 年間，今年會議預計會有 45 篇探討永續發展的論文，其中有 4 篇將由 imec 發表。",2024-02-28 22:20:58,15427,2024 年國際光學工程學會 (SPIE) 先進微影成形技術會議 (Advanced Lithography and Patterning Conference) 本周舉行，比利時微電子研究中心 (imec) 展示能減少二氧化碳排放的,imec發表微影蝕刻製程簡化做法 high-NA EUV曝光一次減少3成碳排,"['imec', '台積電', '英特爾', 'High-NA', 'EUV', 'ASML']",[],1190140f-fabc-4f3d-9811-c0407ce94fc4
